etab;variante;identifiant;score;date_heure
visiteur;Classique;eleve1;2;29 January 2018 23:00:18
visiteur;UnPourToutes;eleve1;1;29 January 2018 22:56:18
visiteur;Classique;pasdansmdp;2;17 May 2017 23:35:27
